キーホルダー,key ring or key chain [key holder]
キリスト or 基督,Christ [Cristo]
キスマーク,hickey [kiss mark]
キッチンペーパー,paper towel [kitchen paper]
コーヒー or 珈琲,coffee [koffie]
コインランドリー,"laundromat (US), launderette (UK) [coin laundry]"
コインロッカー,type of locker [coin locker]
コック,a cook [kok]
コミカライズ,"to make a comic strip (manga) version of an originally non-comic strip title, such as a novel, movie, or TV show. [comic + -alize]"
コンビニ,convenience store [conveni(ence store)]
コンビナート,Combine (enterprise) [комбинат (kombinat) (meaning 'combine')]
コンクール,"a contest, a competition [concours]"
コンセント,power outlet [concent(ric plug)]
コント,a short comedy [conte]
コップ,a glass or tumbler [copo]
コラーゲン,collagen [Kollagen]
コロッケー,"croquette, a small fried roll [croquette]"
コスプレ,"cosplay (a subculture involving dressing up in costumes, especially from manga, anime and video games) [cos(tume) play]"
クラブ or 倶楽部,a club or society [club]
クラクション,horn (on an automobile) [Klaxon]
クランケ,patient [Kranker]
クレーム,a complaint [claim]
クリスタル,shiny or clear [crystal]
キーボード,a keyboard [keyboard]
キャベツ,cabbage [cabbage]
キャンペーン,a sales campaign or sweepstakes [campaign]
キャンピングカー,a recreational vehicle [Camping-car]
キャッチボール,the game of catch [catch ball]
キャッチホン,call waiting [catch phone]
キャッチコピー,tagline [catch copy]
キャップ,cap [cap]
マグカップ,mug [mug cup]
マイナスドライバー,(flathead) screwdriver [minus driver]
マイ〜,"one's own. Common examples include mai būmu: personal taste; mai kã: one's own car; mai waifu : my wife; mai hōmū: one's own house; mai pēsu: doing things at one's own (leisurely) pace, taking one's time (often somewhat derogatory) [my]"
マジックインキ,"Permanent marker [Magic Ink (a registered trademark of Uchida Yoko Co., Ltd.)]"
マジックテープ,Velcro [magic tape]
ママ,mom [mamá]
マンダラ,circle [मण्डल (Mandala)]
マニア,"enthusiasm, enthusiast [mania]"
マンション,modern concrete apartment / condominium block [mansion]
満タン,"full tank (as in the fuel tank of an automobile) [満 (man, full) + tan(k)]"
マロン,"chestnut, metaphor for brown eyes [marron]"
マスコミ,"mass media, the media, the press [mass communication]"
マザコン,"Oedipus complex, or a strong attachment, formed in childhood, to one's mother, often used derogatorily; ""girly man"" [mother com(plex)[2]]"
マゾ,masochist [masochiste]
メーカー,manufacturer [maker]
メール,e-mail [mail]
メールマガジン,"e-mail newsletter, ezine [mail magazine]"
ミイラ or 木乃伊,a mummy [mirra (myrrh: an oil used in preservation)]
ミルク,"milk, non-dairy creamer [milk]"
ミシン,sewing machine [(sewing) machine]
モバイル,"mobile communications, mobile communications capability, or mobile communications devices, esp. PDAs and personal computers with wireless communications capabilities [mobile]"
モボ,1920s slang for young men adopting western styles and behaviours [mo(dern) bo(y)]
モガ,"1920s slang for young women adopting western styles and behaviours, flapper [mo(dern) gi(rl)]"
モーニングコール,wake-up call [morning call]
モーニングコート or モーニング,morning coat [morning coat]
モーニングサービス or モーニング,"breakfast special, complimentary toast, hard-boiled egg et al. that is served at cafes when a cup of coffee is ordered (only seen in some parts of Japan) [morning service]"
モラトリアム人間,"a person who, having completed education and other preparations, delays the transition from student to productive member of society, staying in an uncertain limbo of continued education, part-time work, and parental support (similar to freeter) [moratorium + 人間 (ningen, person, human being)]"
モーテル,"recently called as ""love hotel"". Does not have meaning of English ""motel"" used by tourists with their own vehicles. [motel]"
ムーディ,nice [moody]
ムーンサルト,an artistic gymnastics maneuver. Also used to describe a professional wrestling maneuver. [moon + Salto]
ナイター,a night game [night + -er]
ナンバーディスプレイ,caller ID [number display]
ナンバープレート,"BrE number plate, AmE license plate [number plate]"
ナトリウム,sodium (Na) [Natrium]
ニート　or NEET,"underemployed young adults, akin to ""フリーター” [Not in Employment, Education or Training]"
ノイローゼ,neurosis [Neurose]
ノークレームノーリターン,"sold ""as is"" [no claim, no return]"
ノルマ,"quota, minimum requirement (tasks) [норма (norma) (meaning 'standard; norm')]"
ノート,a notebook [note]
ニューハーフ,A man that has undergone a sex change operation. [new-half]
オージー,an orgy [orgy]
オーバー,overreaction to a situation or the end of a dating relationship [over]
オードブル,hors-d'œuvre [hors-d'œuvre (literally 'out of work')]
"OB, OG","alumnus, alumna, former student; furthermore used for former sport team members, employees, politicians etc., for former members of any kind of organisation likewise [old boy, old girl]"
オーディエンス,group of people who participate in a show [audience]
OL,"female office worker, usually in a clerical or support job [O.L. (office lady)]"
オフ,"a sale at a store; e.g., a ""big summer off"" (=big summer sale) [off]"
オナニー,masturbation (see Onan) [Onanie]
オンリーワン,"(adjective) one of a kind or unique; e.g., オンリーワン技術 (~gijutsu: ""only one technology"") or オンリーワン商品 (~shōhin: ""only one products"") meaning one of a kind technology or products [only one]"
オペ,"surgical operation, minor surgery [OP (short for Operation)]"
オープンカー,convertible (automobile) [open car]
オーライ,"all right, OK [a(ll) righ(t)]"
オルゴール,a music box or any instrument that operates off of a music roll such as a calliope [orgel]
オートバイ,"motorcycle, motorbike [auto bi(cycle)]"
パイン,pineapple [pine(apple)]
パーマ,perm [perma(nent wave)]
パン,"bread [pão, pan]"
パネリスト,panelist [panelist]
パンク,flat tire [punc(ture)]
パンスト,pantyhose [pan(ty) + sto(cking)]
パソコン,PC [perso(nal) com(puter)]
パーソナルコンピューター,personal computer [personal computer]
パンツ,"underpants (American English), pants (British English) [pants]"
パパ,dad [papà]
ペチカ,Russian oven [печка (pechka) (meaning 'little oven')]
ペアルック,matching outfits (usually between a couple) [pair look]
ペニス,the penis [penis]
ペンション,a resort hotel / chalet / cottage [pension]
ペーパーカンパニー,"dummy company, shell company [paper company]"
ペーパードライバー,a person who has a driver's license but does not usually drive (i.e.: a driver only on paper) [paper driver]
ペーパーテスト,written examination/test [paper test]
ピエロ,a clown [pierrot]
ピーマン,sweet bell pepper [piment]
ピッケル,ice axe [(Eis)pickel (meaning 'ice axe')]
ピンチ,potentially disastrous situation [(in a) pinch]
ピンセット,tweezers [pincet]
ポエマー,a poet [poem + -er]
ポケベル,"beeper, pager [pocke(t) bell]"
ポケモン,Pokémon [pocke(t) mon(ster)]
ポンプ,pump [pomp]
ポシェット,a small bag [pochette]
ポスト,"a mailbox (US), a postbox (UK) [post]"
プラスアルファ,"in addition, a little bit more, with something else [plus alpha (in Greek: Άλφα) (a misreading of ""+ X"")]"
プラスドライバー,Phillips screwdriver [plus driver]
プレイガイド,(theater) ticket agency [play + guide]
プリクラ,photo booth#purikura [Print Club (trademark)]
プロ,describes a business professional or professional sports [professional]
プロフィール,a profile [profil]
プロレス,professional wrestling [pro(fessional) wrest(ling)]
プッシュホン,touch-tone phone [push phone]
ラブホテル,love hotel (hotel used as a private place for couples to have sexual contact) [love hotel]
ライバル,A fellow competitor or an enemy [rival]
ライブアクション,animated or comic form stories made into TV shows/movies involving real actors. It's the opposite of komikarizu [live action]
ライブハウス,"club with live music, rock bar [live house]"
ライフライン,infrastructure [lifeline]
ラッコ,a sea otter [rakko]
ラムネ,"Ramune (a lemon-lime soft drink; hard, powdery candy like Rockets or Smarties) [lemona(de)]"
ランドセル,"a hard schoolbag, worn on the back, carried by young children to school [ransel]"
ランニングホームラン,an inside-the-park home run [running home run]
ランニングシャツ,a sleeveless T-shirt [running shirt]
レジュメ,"a resume, an outline [résumé]"
レントゲン,"X-ray, X-ray medical imaging [Röntgen]"
レストラン,restaurant [restaurant]
リベンジ,"return match, rematch, chance for redemption after a failed attempt [revenge]"
リーチ,One step away from winning. Usually used in bingo. [reach]
リードオンリーメンバー,"an internet lurker, thought to be a pun on ""read-only memory"" [read-only member]"
リフォーム,"remodel, renovation (as in a building) [reform]"
リモコン,remote control [remo(te) con(trol)]
リンクフリー,free to link [link free]
リニューアル,remodeling [renewal]
リサイクルショップ,"secondhand shop (selling used or unwanted furniture, household appliances, housewares, and clothes; slightly different from non-profit or charity thrift shops in that they are fundamentally for-profit shops and perceived as one way to help reduce trash) [recycle shop]"
リストラ,"(noun) restructuring, but with emphasis on lowering headcounts as in downsizing, termination as a redundancy; (verb) to downsize, lay off or terminate as a redundancy. When used in the passive (〜される: ~sareru), to get or have been made redundant, downsized (out of a job) [restru(cturing)]"
ロードショー,"premiere, especially of a film [roadshow (theatrical release)]"
"ロケーションハンティング, ロケハン",location scout [location hunting]
ロマン,"novel, something that rouses one's dreams / longings [roman]"
ロマンスグレー,silver-gray hair [romance grey]
ロマンスカー,deluxe train [romance car (first used as a trademark by the Odakyu Electric Railway)]
ロンパリ,"slang for Strabismus (crosseyed, wandering eye), derived from the image of one eye looking toward London, and the other eye looking toward Paris [Lon(don) + Paris]"
ロープウェー,ropeway [rope way]
ロリコン,"sexual attraction to fictional and real underage girls, or ephebophilia. (reborrowed into English to refer a genre of manga-style sexual artwork involving childlike female characters) [Loli(ta) com(plex)]"
ロスタイム,"added time, additional time [loss time]"
ルー,"roux, most commonly used in describing the sauce of the popular dish, curry rice [roux]"
ルポ,Reportage [repo(rtage)]
リュックサック,"backpack, Rucksack [Rucksack]"
サービス,"service, often used to describe something as being free of charge [service]"
サボる,"to slack off, to shirk one's duties [sabo(tage) + -ru (Japanese verb ending)]"
サド,sadist [sadiste]
サイドブレーキ,"hand brake, parking brake, emergency brake [side brake]"
サイダー,a kind of soda unrelated to actual cider [cider]
サイン,"signature, autograph [sign]"
サインペン,"marker, Trade name of Pentel's [sign pen]"
サンドイッチ or サンド,sandwich [sand(wich)]
サンドバッグ,punching bag [sandbag]
サラダ,salad [salada or salad]
サラリーマン,salaryman: a salaried office/white collar worker [salary + man]
セックス,sexual intercourse [sex]
セフレ,casual sexual partner [se(x) + frie(nd)]
セクハラ,sexual harassment [sex(ual) hara(ssment)]
セメダイン,"glue, adhesive. A genericized trademark of Cemedine Co., Ltd. [ceme(nt) dyne]"
センス,understanding of subtleties [sense]
セレブ,"used to refer to a rich person, whether or not they are famous [celeb(rity)]"
セツナ,moment [क्षण (ksana)]
シャボン玉,"soap bubble [sabão + 玉 (dama, ball)]"
シャープペンシル or シャーペン,"mechanical pencil [shar(p) pencil or shar(p) pen(cil) (referring to Sharp Corporation, a manufacturer of mechanical pencils)]"
シーエム,television commercial [C.M. (Commercial Message)]
シール,"sticker, decal [seal]"
シルバーシート,priority seating on public transportation [silver seat (referring to the silver hair of elderly passengers)]
シュークリーム,a cream puff [chou (à la) crème]
ソフト,"video game console or computer software; also used to describe tasks or work (such as design) requiring imagination, foresight, and intuition [soft(ware)]"
ソフトクリーム,soft serve (ice cream) [soft (ice) cream]
ソーラーシステム,a solar battery [solar system]
すべた or スベタ,unattractive woman (spade) [espada]
スイートルーム,a suite in a hotel [suite room]
スカイ,"a bib, said to come from the name of an American clothing maker who sold bibs [sky]"
スケボー,skateboard [ska(te)bo(ard)]
スケルトン,translucent [skeleton]
スキー,used as a noun to refer to skiing [ski]
スキンシップ,skinship (bonding through physical contact) [skin + -ship]
スコップ,"trowel, spade, shovel [schop]"
スマート,"slim, stylish, well-dressed, cool, handsome [smart]"
スマホ,smartphone [sma(rt) + (p)ho(ne)]
スムーズ,When a plan or transaction happens without incident [smooth (transaction)]
スーパー,supermarket [super(market)]
"スパッツ, スパッツタイツ","tights (US), leggings [spats, spats tights]"
スペル,"used as a noun to mean ""spelling"" [spell]"
スピン,a ribbon or tassel on a book [spin]
スポイト,"syringe, dropper [spuit]"
スリーサイズ,"three primary female body measurements (bust, waist, hips) [three size]"
ストライキ or スト,labor strike [strike or st(rike)]
ストレートティー,black tea without milk or lemon [straight tea]
ストーブ,space heater [stove]
スーツアクター,"suit actor, an actor who performs wearing a cartoon-character costume [suits actor]"
"タバコ, たばこ or 煙草","tobacco, cigarette [tabaco]"
タイムオーバー,when a time limit has been reached [time over]
タイムリー,"a clutch hit (in baseball), on time [timely (hit)]"
タオルケット,a type of blanket made of a material similar to a beach or bath towel [towelket (towel + (blan)ket)]
タレント,TV personality/celebrity [talent]
テーマ,theme [Thema]
テンキー,numeric keypad [ten key]
てんぷら or 天ぷら,tempura (culinary term) [tempura]
テンション,a state of excitement [tension]
テレビ,television [televi(sion)]
テレビゲーム,video game [televi(sion) game]
テレフォン,"a system that converts acoustic vibrations to electrical signals in order to transmit sound, over a distance using wire or radio. [telephone]"
テレカ,prepaid card for using public telephones [tele(phone) ca(rd)]
ティーンエージャー,A person in their teens [Teenager]
トーチカ,bunker [точка (tochka) (meaning 'point')]
トイレ(ット),"toilet, bathroom, washroom, restroom [toile(t)]"
トンカツ,"pork cutlet [""ton,"" the on'yomi reading for 豚 (pork) + ""katsu"" from the English word ""cutlet""]"
"トラブル(noun), トラブる(verb)","(noun) (legal) trouble, a dispute or altercation; (verb) to encounter or experience trouble, to break down or not function as expected (e.g., a device) [trouble]"
トランプ,playing cards [trump(s)]
トレーナー,a sweat shirt [trainer]
トレーニングパンツ,pants for toddlers or babies; diaper [training pants]
ウィンカー or ウインカー,"turn signal, a.k.a. blinker or indicator on an automobile [winker]"
ウーパールーパー,an axolotl [(s)uper]
ヴァイキング,"smorgasbord, buffet. It is said that this originated from the restaurant ""Imperial Viking"" in the Imperial Hotel, which was the first restaurant in Japan to serve buffet-style meals, named after the 1958 American film The Vikings. [viking]"
ヴァージンロード,"the aisle (in a Western-style or Christian wedding ceremony, as followed by the bridal procession) [virgin road]"
ワイシャツ or Yシャツ,"dress shirt (of any color) [Y shirt (modification of ""white shirt"")]"
ワンパターン,"of (artificial or boring) uniformity or conformity, lacking of (spontaneous) variation. Used to describe behavior and responses as well as objects. Being ""in a rut"" [one pattern]"
ワンピース,(a single-piece) dress [one piece]
ワープロ,word processor [wor(d) pro(cessor)]
ウォシュレット,a toilet with a built-in bidet (a genericized trademark of TOTO Ltd.) [washlet (wash+(toi)let)]
ヨット,a sailboat or yacht [yacht]
ヤンエグ,young executive [youn(g) ex(ecutive)]
ヨード,iodine [Jod]
ヨードチンキ,tincture of iodine [Jodtinktur]
ユニットバス,"modular bath, prefabricated bath [unit bath]"
Uターンラッシュ,"the rush of traffic and people, and attendant traffic jams and crowding of transportation facilities, that occurs as everyone returns home after extended holidays, esp. New Year's, Golden Week, and the summer o-bon week. [u-turn rush]"
ザイル,"rope (used in a climbing context, in preference to the general term 'rōpu') [Seil (meaning 'rope')]"
ゼミナール or ゼミ,seminar [Seminar or Semi(nar)]
ゼン,a meditation [ध्यान (Dhyāna)]
ゼロ,zero [zéro]
トマト,tomato [tomatl]
ズボン,"trousers (British English), pants (American English) [jupon (meaning petticoat)]"
